Nama;Gender;Bahasa;Inggris;TIK;Matematika;Fisika;Kimia;Biologi;Geografi;Sosiologi;Antropologi;Extra_Kurikuler;Tinggal_Dengan;Status_Kerja;Biaya;Tgl_Daftar_Kuliah;Alamat;UKM;Organisasi_Kampus;Lama_Kuliah;Fakultas
Abbey Butler;Pria;69,8;64,6;64;81,5;88,2;86,7;68,3;74;67,7;70,7;Ekskul_4;Kos;Belum;Beasiswa;2008;Tangerang;UKM_3;Ya;3,5;DKV
Abbey Carpenter;Wanita;68,7;88,3;80,9;80,7;67,8;67,3;72,1;77,3;64,4;62,8;Ekskul_4;NA;Belum;NA;2009;Bekasi;UKM_2;Tidak;4;FIKOM
Abbey Dubois;Wanita;83,8;79,8;79,2;66,3;82,3;82,7;74,2;84;75,4;65,9;Ekskul_1;NA;Bekerja;Beasiswa;2008;Serang;UKM_4;Tidak;4,5;FIKOM
Abbey Gosling;Wanita;66,7;63,7;64;60,2;75,9;87,6;85,6;68,1;73,7;61,7;Ekskul_4;Orang Tua;Belum;Beasiswa;2009;Serang;UKM_1;Tidak;5,5;DKV
Abbey Logan;Wanita;62,3;76,8;77;87,1;65,1;65,7;70,8;67;77,3;79;Ekskul_2;Orang Tua;Bekerja;NA;2009;Bekasi;Tidak;Ya;6,5;DKV
Abbey Lunt;Pria;66;85;72,2;68,8;77,9;74,3;83,3;75,1;65,2;61,7;Ekskul_3;Kos;Belum;NA;2007;Serang;Tidak;Tidak;3,5;FISIP
Abbey Mccormick;Wanita;76,9;61,5;86,4;83,3;63,9;81,1;60,8;75,7;71;61;Ekskul_6;Orang Tua;Bekerja;Beasiswa;2008;Bogor;UKM_4;Tidak;4,5;FIKOM
Abbey Morrow;Wanita;61,6;80,4;74,8;69,2;60,9;70,8;88,1;61,9;68,4;75;Ekskul_4;Orang Tua;Belum;Beasiswa;2009;Bogor;UKM_3;Tidak;5;FIKOM
Abbey Reading;Pria;77;73,7;77,4;71,6;83,2;62,2;84,8;86,3;80,2;61,5;Ekskul_3;NA;Belum;Beasiswa;2008;Tangerang;UKM_2;Tidak;5;FIKOM
Abbey Styles;Wanita;73,2;66,9;65,4;79,1;87,5;82,9;61,4;63,5;78,9;87,6;Ekskul_6;Orang Tua;Belum;NA;2007;Bogor;UKM_3;Ya;6;FTI
Abbey West;Pria;82,5;84,1;80,8;71,7;64,9;65,7;74,8;73,6;73,7;74,7;Ekskul_4;Kos;Belum;Orang Tua;2008;Bekasi;Tidak;Ya;5;FT
Abdul Andersson;Pria;70,7;83,4;81,7;77,8;79,6;82,4;87,2;79,9;75,4;70,3;Ekskul_6;Kos;Bekerja;Beasiswa;2009;Bogor;UKM_3;Ya;5;FT
Abdul Bloom;Wanita;65,5;63;84,9;64,4;86;70,4;61,1;82,6;76;85,9;Ekskul_4;Orang Tua;Belum;NA;2008;Jakarta;Tidak;Tidak;5,5;DKV
Abdul Campbell;Wanita;63,9;88,3;65,9;84,6;68,4;71;87,5;71;76;NA;Ekskul_3;NA;Belum;Orang Tua;2009;Serang;UKM_3;Tidak;6,5;FIKOM
Abdul Carpenter;Pria;65,9;81,2;83,5;84;80,7;63,4;74;86;NA;75,5;Ekskul_4;Kos;Bekerja;Beasiswa;2008;Serang;UKM_2;Ya;4,5;DKV
Abdul Clifton;Pria;72,1;80,3;86,9;68,5;60,5;87,9;86,1;82,2;68,9;71,2;Ekskul_6;Kos;Bekerja;Orang Tua;2008;Tangerang;UKM_2;Tidak;3,5;DKV
Abdul Daniells;Pria;83,8;70,8;84,3;72;62,1;63;65,9;83,6;83,8;87,4;Ekskul_5;Orang Tua;Bekerja;Orang Tua;2007;Serang;UKM_2;Tidak;5;FTI
Abdul Downing;Wanita;65,3;67,8;68,4;87,8;77,2;71,6;87,6;71,6;85,2;66,1;Ekskul_1;NA;Bekerja;Orang Tua;2007;Bogor;UKM_2;Ya;7;FTI
Abdul Drake;Wanita;73;78,8;NA;72,1;64,4;64,5;79,6;74,9;72,6;81,7;Ekskul_1;Orang Tua;Belum;NA;2009;Karawang;UKM_1;Tidak;6;FT
Abdul Dunbar;Pria;73,8;75,7;87,1;73,2;62,2;65,7;64,9;77;65,1;61,7;Ekskul_1;Kos;Bekerja;NA;2008;Karawang;UKM_3;Tidak;7;FT
Abdul Edley;Wanita;88,6;81,6;71,9;88,4;76,2;83,8;78,6;79,7;66,1;61,2;Ekskul_5;Orang Tua;Bekerja;Beasiswa;2007;Karawang;UKM_2;Tidak;5,5;DKV
Abdul Ellis;Wanita;65,8;65,6;82,7;77,6;73,5;64,3;72,8;82;63,4;72,4;Ekskul_5;Orang Tua;Belum;NA;2008;Bekasi;UKM_2;Ya;3,5;DKV
Abdul Harrison;Wanita;70,2;81,4;81,6;75,6;64,1;61,8;69,9;80,7;70,9;88,5;Ekskul_3;NA;Belum;Orang Tua;2007;Jakarta;UKM_3;Ya;3,5;DKV
Abdul Heaton;Wanita;63,9;75,6;84,4;61,6;76,4;82,7;79,4;69,8;NA;85,2;Ekskul_2;NA;Belum;NA;2007;Serang;UKM_1;Tidak;6,5;FISIP
Abdul Herbert;Pria;70,3;87,3;85;69,8;73,1;71,2;70,8;68,1;70,2;74,2;Ekskul_5;Kos;Bekerja;NA;2008;Bekasi;UKM_4;Ya;5,5;FIKOM
